Job Title,Company,Location,Salary,Job Type,Experience Required
AI Engineer,The Scotts Miracle-Gro Company,"14111 Scottslawn Rd, Marysville, OH 43040","$108,300 - $127,400 a year",Full-time,0
"Solutions Engineer, EMEA",Kandji,"London, OH",Salary Not Listed,Full-time,0
Senior Machine Learning Engineer,Central Mutual Insurance Company,"6620 Mooney Street, Dublin, OH 43017",Salary Not Listed,Full-time,2+ years
Associate Applications Developer,The Ohio State University,"2015 Neil Avenue, Columbus, OH 43210",Salary Not Listed,Full-time,0
Data Engineer,Company Not Listed,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0
Software Engineer - Python - Ubuntu Pro client - graduate level,Test Board,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0
UiPath Robotics Process Automation (RPA) Developer,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Contract,0
Sales Engineer - Midwest,Axonius,"Columbus, OH","$230,000 - $250,000 a year",Job Type Not Listed,0
Site Reliability Engineer - Platform Data Engineering,Compile,"Columbus, OH","$105,500 - $175,900 a year",Job Type Not Listed,0
Staff Software Engineer,"Applied Research Associates, Inc","Columbus, OH 43212",Salary Not Listed,Full-time,0
Solutions Engineer III,Capital Group Companies,"London, OH",Salary Not Listed,Full-time,0
Engineer II - M2 Engine/ISO 8583,Bread Financial,"Columbus, OH","$120,500 - $272,900 a year",Full-time,0
Product Engineer,Intelligent Waves LLC,"Columbus, OH",Salary Not Listed,Full-time,0
Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0
Robotics Automation Developer (RPA / RDA),StaidLogic,"Columbus, OH",Salary Not Listed,Full-time,0
UIPath RPABOT Developer,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Contract,0
Product Engineer,Intelligent Waves LLC,"Columbus, OH",Salary Not Listed,Full-time,0
Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0
Industrial Cloud Platform Engineer - Industry 4.0,Hexion Inc.,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0
Lead Data Engineer,g2o,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0
Automotive Infotainment Development Engineer,Lumenance,"Marysville, OH",Salary Not Listed,Full-time,0
IBM Watson Consultant,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Temp-to-hire,0
Cloud Engineer,SDH Systems,"Dublin, OH 43017","$84,219 a year",Full-time,0
Computational Systems Biologist/Engineer,Battelle,"Columbus, OH",Salary Not Listed,Full-time,0
Sr. Robotics Process Automation Developers,KK Software Associates,"Dublin, OH",Salary Not Listed,Job Type Not Listed,0
Automation Developers,KK Software Associates,"Dublin, OH",Salary Not Listed,Job Type Not Listed,0
Systems Engineer,RoviSys Building Technologies,"4789 Rings Road, Dublin, OH 43017",Salary Not Listed,Full-time,0
Senior Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0
Architect I,Medical Mutual of Ohio,"545 Metro Place South, Dublin, OH 43017",Salary Not Listed,Full-time,0
AI & GenAI Data Scientist-Manager,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215","$100,000 - $232,000 a year",Job Type Not Listed,0
Senior Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0
ASG Rochade Integration Engineer,Intone Networks,"Columbus, OH",Salary Not Listed,Contract,0
"Open Rank, Professor of Practice - Computer Science and Engineering,",The Ohio State University,"2015 Neil Avenue, Columbus, OH 43210",Salary Not Listed,Full-time,0
AI Solution Architect,Deloitte,"Columbus, OH","$167,325 - $278,875 a year",Full-time,0
AI & GenAI Data Scientist-Senior Associate,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215","$84,000 - $202,000 a year",Job Type Not Listed,0
Product Specialist 5,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Contract,0
"Senior Analyst, Data Engineering",The Scotts Miracle-Gro Company,"14111 Scottslawn Rd, Marysville, OH 43040","$108,300 - $127,400 a year",Full-time,0
Mid-Level Systems Engineer,Battelle,"505 King Avenue, Columbus, OH 43201",Salary Not Listed,Full-time,0
Senior Engineer - AIMS,The Ohio State University,"1314 Kinnear Road, Columbus, OH 43212",Salary Not Listed,Full-time,4+ years
AI Architect - Data,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0
Data Engineer- Manager,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215","$100,000 - $232,000 a year",Job Type Not Listed,0
Data Center Engineering Operations Technician,"Amazon Data Services, Inc. - A19","Hilliard, OH",Salary Not Listed,Full-time,0
"Critical Facilities Electrical Field Engineer, Data Center Field Engineering","Amazon Data Services, Inc.","Columbus, OH",Salary Not Listed,Full-time,0
AI/ML Data Engineering Lead (Specialist Master) - SFL Scientific,Deloitte,"Columbus, OH","$151,800 - $253,000 a year",Full-time,0
Software Sales,"Vantagepoint ai, LLC","Columbus, OH","From $100,000 a year",Full-time,0
