Job Title,Company,Location,Salary,Job Type,Experience Required
Data Scientist,NYC HOUSING AUTHORITY,"Manhattan, NY","$75,000 - $103,670 a year",Full-time,0
Data Science Associate,JPMorganChase,"383 Madison Ave, New York, NY 10179","$104,500 - $140,000 a year",Full-time,0
Data Scientist,Moody's,"250 Greenwich Street, New York, NY 10007","$106,600 - $154,600 a year",Full-time,0
Data Scientist,CDC Foundation,"New York, NY","$92,700 - $134,275 a year",Full-time,0
"Data Scientist, Product Analytics",Meta,"New York, NY","$114,000 - $171,000 a year",Job Type Not Listed,0
Data Scientist,Saks,"New York, NY 10281","$100,000 - $130,000 a year",Full-time,0
Machine Learning Scientist,Genentech,"New York, NY 10001","$144,900 - $269,100 a year",Full-time,0
"Staff Data Scientist, Product",Google,"New York, NY",Salary Not Listed,Full-time,0
"Staff Data Scientist, Product, Search",Google,"New York, NY",Salary Not Listed,Full-time,0
"Senior Data Scientist, Research, Ads",Google,"New York, NY",Salary Not Listed,Full-time,0
Data Scientist (Remote or Hybrid),Council of State Governments,New York State,"$72,500 - $99,000 a year",Full-time,0
Data Scientist-Healthcare Analytics,Staffing Solutions Organization LLC,"Albany, NY 12210","$78,000 - $95,000 a year",Full-time,0
"Business Intelligence Engineer, Ads Marketing Decision Science",Amazon Advertising LLC,"New York, NY","$89,600 - $185,000 a year",Full-time,0
IS Data Scientist,American Arbitration Association Inc.,"120 Broadway, New York, NY 10271","$130,000 - $140,000 a year",Full-time,0
Associate Value Engineer (Data Scientist & Management Consultant) - Orbit Program,Celonis SE,"New York, NY","$90,000 a year",Full-time,0
Senior Data Scientist,Canoe Intelligence,"New York, NY 10013","$140,000 - $180,000 a year",Job Type Not Listed,0
"Data Scientist, Financial Crimes - USDS",TikTok,"New York, NY","$98,800 - $196,000 a year",Job Type Not Listed,0
Data Scientist II - Product Owner,Bank of America,"New York, NY","$125,000 - $246,200 a year",Full-time,0
Staff Data Scientist - NY,Aircall,"New York, NY","$140,000 - $180,000 a year",Full-time,0
"Senior Data Scientist, Research, Ads Metrics",Google,"New York, NY",Salary Not Listed,Full-time,0
Senior Data Scientist,Prospect 33,"New York, NY","$180,000 - $250,000 a year",Full-time,0
"Data Scientist, Demand Forecasting",Amazon.com Services LLC,"New York, NY","$125,500 - $212,800 a year",Full-time,0
Data Scientist,Octaura,"New York, NY","$150,000 - $175,000 a year",Full-time,0
"Staff Data Scientist, Product, Search",Google,"New York, NY",Salary Not Listed,Full-time,0
Sr Machine Learning Scientist - (Open to remote),Penguin Random House LLC,"New York, NY 10019","$150,000 - $200,000 a year",Full-time,0
Machine Learning Scientist,Genentech,"New York, NY 10001","$144,900 - $269,100 a year",Full-time,0
Associate Value Engineer (Data Scientist & Management Consultant) - Orbit Program,Celonis SE,"New York, NY","$90,000 a year",Full-time,0
Staff Data Scientist,Human Security,"New York, NY","$165,000 - $205,000 a year",Full-time,0
Research Scientist - NLP,S&P Global,"New York, NY 10041","$150,000 - $225,000 a year",Job Type Not Listed,0
Junior Consultant in Strategy & Data Science | New York | Jan 2025,Ekimetrics,"New York, NY","$75,000 a year",Full-time,0
"Generative AI Scientist, Associate (New York, NY)",Goldman Sachs,"200 West Street, New York, NY 10282","$115,000 - $180,000 a year",Part-time,0
Data Scientist,NYC HOUSING AUTHORITY,"Manhattan, NY","$75,000 - $103,670 a year",Full-time,0
Sr Machine Learning Scientist - (Open to remote),Penguin Random House LLC,"New York, NY 10019","$150,000 - $200,000 a year",Full-time,0
Data Scientist,Saks,"New York, NY 10281","$100,000 - $130,000 a year",Full-time,0
Machine Learning Engineer (Early Career),Accrete.AI,"New York, NY","$90,000 - $110,000 a year",Full-time,0
Machine Learning Compiler Engineer,Qualcomm,"New York, NY","$133,000 - $200,000 a year",Job Type Not Listed,0
Data Scientist I,University of Rochester,"Rochester, NY","$60,431 - $84,603 a year",Full-time,0
Data Science Analyst,Greater New York Mutual Insurance Company,"200 Madison Avenue, Manhattan, NY 10016","$70,200 - $128,100 a year",Job Type Not Listed,0
Data Scientist-Healthcare Analytics,Staffing Solutions Organization LLC,"Albany, NY 12210","$78,000 - $95,000 a year",Full-time,0
Machine Learning Scientist,Genentech,"New York, NY 10001","$144,900 - $269,100 a year",Full-time,0
"Applied AI Engineer, Associate",BlackRock Investments,"New York, NY","$132,500 - $157,500 a year",Job Type Not Listed,0
Machine Learning Developer,"D. E. Shaw & Co., L.P.","New York, NY","$250,000 - $350,000 a year",Full-time,0
"Data Scientist, Ads Sales Analytics",Apple,"New York, NY","$136,300 - $248,700 a year",Job Type Not Listed,0
Data Science Senior Advisor- Hybrid,The Cigna Group,"New York, NY 10017","$121,400 - $202,400 a year",Full-time,0
Lead Data Scientist ML - Forecasting,CVS Health,"Albany, NY 12207","$118,450 - $247,200 a year",Full-time,0
