Job Title,Company,Location,Salary,Job Type,Experience Required,Nom du pays
Technical Project Manager - Strategic Account,Mastercard,"Chicago, IL","$110,000 - $120,000 a year",Full-time,0,Chicago
Project Coordinator - Cancer Center,RUSH University Medical Center,"1653 W Congress Parkway, Chicago, IL 60612",Salary Not Listed,Full-time,0,Chicago
Research Program Manager,Expedia Group,"Chicago, IL 60661","$137,500 - $220,000 a year",Full-time,0,Chicago
"Manager, Facilities Data & Reporting",DePaul University,"1 E Jackson Blvd, Chicago, IL 60604",Salary Not Listed,Full-time,5+ years,Chicago
Energy Efficiency Program Manager II (Remote - IL),Energy Solutions - USA,"Chicago, IL","$75,000 - $90,000 a year",Job Type Not Listed,0,Chicago
Assistant Project Manager - Highway,Aldridge Electric,"Des Plaines, IL",Salary Not Listed,Job Type Not Listed,0,Chicago
E-Discovery Project Manager,Perkins Coie,"Chicago, IL 60603","$102,540 - $155,280 a year",Full-time,0,Chicago
"Extra Help - Office Manager - OVCAS - Planning, Sustainability and Project Management",University of Illinois,"601 S Morgan, Chicago, IL 60607",$27.46 - $30.31 an hour,Temporary,0,Chicago
Project Manager,Zeno Group,"130 E Randolph St # 3000, Chicago, IL 60601","$62,000 - $87,000 a year",Full-time,0,Chicago
Program Director,CIBC,"Chicago, IL","$175,000 - $225,000 a year",Full-time,0,Chicago
Project Manager - Cancer Center,Rush University Medical Center,"1653 W Congress Parkway, Chicago, IL 60612",Salary Not Listed,Full-time,0,Chicago
Clinical Research Project Manager,Northwestern University,"Chicago, IL","$63,079 - $88,705 a year",Job Type Not Listed,0,Chicago
IM Project Manager,Ann & Robert H. Lurie Children’s Hospital of Chicago,"680 North Lake Shore Drive, Chicago, IL 60611",Salary Not Listed,Full-time,0,Chicago
Project Manager of Parent Coaching & Implementation,The University of Chicago,"850 East 61st Street, Chicago, IL 60637","$59,000 - $82,000 a year",Full-time,0,Chicago
Research Project Manager,Northwestern University,"Chicago, IL",Salary Not Listed,Job Type Not Listed,1+ years,Chicago
"Assistant Project Manager, Zero Emissions",STV Group,"Chicago, IL","$79,899.94 - $106,533.25 a year",Full-time,0,Chicago
Construction Project Assistant,Maman Corp.,"Chicago, IL 60625",Salary Not Listed,Job Type Not Listed,0,Chicago
Project Manager,Northwestern University,"Evanston, IL","$90,000 a year",Job Type Not Listed,0,Chicago
E-Discovery Project Manager,Perkins Coie,"Chicago, IL 60603","$102,540 - $155,280 a year",Full-time,0,Chicago
Energy Efficiency Program Manager II (Remote - IL),Energy Solutions - USA,"Chicago, IL","$75,000 - $90,000 a year",Job Type Not Listed,0,Chicago
"Manager, Facilities Data & Reporting",DePaul University,"1 E Jackson Blvd, Chicago, IL 60604",Salary Not Listed,Full-time,5+ years,Chicago
Program Director,CIBC,"Chicago, IL","$175,000 - $225,000 a year",Full-time,0,Chicago
Project Manager,Company Not Listed,"Chicago, IL","$65,000 - $80,000 a year",Full-time,0,Chicago
Project Manager I Energy,Cotter Consulting,"100 South Wacker Drive, Chicago, IL 60606",Salary Not Listed,Job Type Not Listed,0,Chicago
Research Project Manager,Northwestern University,"Chicago, IL",Salary Not Listed,Job Type Not Listed,1+ years,Chicago
Project Manager I / II,GTI Energy,"Des Plaines, IL 60018","$90,000 - $130,000 a year",Full-time,0,Chicago
Project Manager,TitaniumCRE Consultants,"150 South Wacker Drive, Chicago, IL 60606",Salary Not Listed,Job Type Not Listed,0,Chicago
Project Management Specialist,CONAGRA,"Chicago, IL 60654","$62,000 - $91,000 a year",Full-time,0,Chicago
Head of US PMO,CIBC,"Chicago, IL","$185,000 - $230,000 a year",Full-time,0,Chicago
Digital Project Manager,Symmetri Technology,"Chicago, IL 60601",Salary Not Listed,Job Type Not Listed,0,Chicago
"Manager, Technology & Data Project",Link Logistics Real Estate,"Chicago, IL","$130,000 - $136,000 a year",Full-time,0,Chicago
Project Manager,TitaniumCRE Consultants,"150 South Wacker Drive, Chicago, IL 60606",Salary Not Listed,Job Type Not Listed,0,Chicago
Senior Proposal Project Manager,Aon,"200 East Randolph Street, Chicago, IL 60601","$95,000 - $100,000 a year",Full-time,0,Chicago
Project Analyst/Assistant (Environmental Engineering/Consulting) - Remote,Brown and Caldwell,"Chicago, IL 60661",$25.20 - $38.00 an hour,Full-time,0,Chicago
Assistant Project Manager,ProBar,"Chicago, IL 60603",Salary Not Listed,Job Type Not Listed,0,Chicago
Project Management Coordinator,"Woolpert, Inc.","130 East Randolph Street, Chicago, IL 60601",Salary Not Listed,Full-time,0,Chicago
Project Manager I / II,GTI Energy,"Des Plaines, IL 60018","$90,000 - $130,000 a year",Full-time,0,Chicago
Project Manager,Company Not Listed,"Chicago, IL","$65,000 - $80,000 a year",Full-time,0,Chicago
INTERDISCIPLINARY (Project Management Specialist),U.S. Army Corps of Engineers,"Chicago, IL","$49,025 - $105,289 a year",Job Type Not Listed,0,Chicago
Project Specialist,Company Not Listed,"101 North Wacker Drive, Chicago, IL 60606",Salary Not Listed,Job Type Not Listed,0,Chicago
Agile Product Owner,FIS Global,"Chicago, IL 60666","$110,330 - $185,350 a year",Full-time,0,Chicago
Business Project Manager-1,Realign LLC,"Chicago, IL",Salary Not Listed,Contract,0,Chicago
Sales Training and Performance Project Manager,LCS,"Chicago, IL","$83,200 - $104,000 a year",Full-time,0,Chicago
Associate Project Manager,access2insight,"Chicago, IL",Salary Not Listed,Full-time,0,Chicago
"Strategic Program Manager, International CMS",Incora,"Northlake, IL",Salary Not Listed,Full-time,0,Chicago
AI Engineer,The Scotts Miracle-Gro Company,"14111 Scottslawn Rd, Marysville, OH 43040","$108,300 - $127,400 a year",Full-time,0,London
"Solutions Engineer, EMEA",Kandji,"London, OH",Salary Not Listed,Full-time,0,London
Senior Machine Learning Engineer,Central Mutual Insurance Company,"6620 Mooney Street, Dublin, OH 43017",Salary Not Listed,Full-time,2+ years,London
Associate Applications Developer,The Ohio State University,"2015 Neil Avenue, Columbus, OH 43210",Salary Not Listed,Full-time,0,London
Data Engineer,Company Not Listed,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0,London
Software Engineer - Python - Ubuntu Pro client - graduate level,Test Board,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0,London
UiPath Robotics Process Automation (RPA) Developer,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Contract,0,London
Sales Engineer - Midwest,Axonius,"Columbus, OH","$230,000 - $250,000 a year",Job Type Not Listed,0,London
Site Reliability Engineer - Platform Data Engineering,Compile,"Columbus, OH","$105,500 - $175,900 a year",Job Type Not Listed,0,London
Staff Software Engineer,"Applied Research Associates, Inc","Columbus, OH 43212",Salary Not Listed,Full-time,0,London
Solutions Engineer III,Capital Group Companies,"London, OH",Salary Not Listed,Full-time,0,London
Engineer II - M2 Engine/ISO 8583,Bread Financial,"Columbus, OH","$120,500 - $272,900 a year",Full-time,0,London
Product Engineer,Intelligent Waves LLC,"Columbus, OH",Salary Not Listed,Full-time,0,London
Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0,London
Robotics Automation Developer (RPA / RDA),StaidLogic,"Columbus, OH",Salary Not Listed,Full-time,0,London
UIPath RPABOT Developer,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Contract,0,London
Product Engineer,Intelligent Waves LLC,"Columbus, OH",Salary Not Listed,Full-time,0,London
Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0,London
Industrial Cloud Platform Engineer - Industry 4.0,Hexion Inc.,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0,London
Lead Data Engineer,g2o,"Columbus, OH",Salary Not Listed,Job Type Not Listed,0,London
Automotive Infotainment Development Engineer,Lumenance,"Marysville, OH",Salary Not Listed,Full-time,0,London
IBM Watson Consultant,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Temp-to-hire,0,London
Cloud Engineer,SDH Systems,"Dublin, OH 43017","$84,219 a year",Full-time,0,London
Computational Systems Biologist/Engineer,Battelle,"Columbus, OH",Salary Not Listed,Full-time,0,London
Sr. Robotics Process Automation Developers,KK Software Associates,"Dublin, OH",Salary Not Listed,Job Type Not Listed,0,London
Automation Developers,KK Software Associates,"Dublin, OH",Salary Not Listed,Job Type Not Listed,0,London
Systems Engineer,RoviSys Building Technologies,"4789 Rings Road, Dublin, OH 43017",Salary Not Listed,Full-time,0,London
Senior Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0,London
Architect I,Medical Mutual of Ohio,"545 Metro Place South, Dublin, OH 43017",Salary Not Listed,Full-time,0,London
AI & GenAI Data Scientist-Manager,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215","$100,000 - $232,000 a year",Job Type Not Listed,0,London
Senior Advanced AI Research Engineer,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0,London
ASG Rochade Integration Engineer,Intone Networks,"Columbus, OH",Salary Not Listed,Contract,0,London
"Open Rank, Professor of Practice - Computer Science and Engineering,",The Ohio State University,"2015 Neil Avenue, Columbus, OH 43210",Salary Not Listed,Full-time,0,London
AI Solution Architect,Deloitte,"Columbus, OH","$167,325 - $278,875 a year",Full-time,0,London
AI & GenAI Data Scientist-Senior Associate,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215","$84,000 - $202,000 a year",Job Type Not Listed,0,London
Product Specialist 5,TRA'BIAN ENTERPRISES,"Columbus, OH",Salary Not Listed,Contract,0,London
"Senior Analyst, Data Engineering",The Scotts Miracle-Gro Company,"14111 Scottslawn Rd, Marysville, OH 43040","$108,300 - $127,400 a year",Full-time,0,London
Mid-Level Systems Engineer,Battelle,"505 King Avenue, Columbus, OH 43201",Salary Not Listed,Full-time,0,London
Senior Engineer - AIMS,The Ohio State University,"1314 Kinnear Road, Columbus, OH 43212",Salary Not Listed,Full-time,4+ years,London
AI Architect - Data,Accenture,"Columbus, OH",Salary Not Listed,Full-time,0,London
Data Engineer- Manager,PRICE WATERHOUSE COOPERS,"41 South High Street, 25th Floor, Columbus, OH 43215","$100,000 - $232,000 a year",Job Type Not Listed,0,London
Data Center Engineering Operations Technician,"Amazon Data Services, Inc. - A19","Hilliard, OH",Salary Not Listed,Full-time,0,London
"Critical Facilities Electrical Field Engineer, Data Center Field Engineering","Amazon Data Services, Inc.","Columbus, OH",Salary Not Listed,Full-time,0,London
AI/ML Data Engineering Lead (Specialist Master) - SFL Scientific,Deloitte,"Columbus, OH","$151,800 - $253,000 a year",Full-time,0,London
Software Sales,"Vantagepoint ai, LLC","Columbus, OH","From $100,000 a year",Full-time,0,London
Data Scientist,NYC HOUSING AUTHORITY,"Manhattan, NY","$75,000 - $103,670 a year",Full-time,0,New_York
Data Science Associate,JPMorganChase,"383 Madison Ave, New York, NY 10179","$104,500 - $140,000 a year",Full-time,0,New_York
Data Scientist,Moody's,"250 Greenwich Street, New York, NY 10007","$106,600 - $154,600 a year",Full-time,0,New_York
Data Scientist,CDC Foundation,"New York, NY","$92,700 - $134,275 a year",Full-time,0,New_York
"Data Scientist, Product Analytics",Meta,"New York, NY","$114,000 - $171,000 a year",Job Type Not Listed,0,New_York
Data Scientist,Saks,"New York, NY 10281","$100,000 - $130,000 a year",Full-time,0,New_York
Machine Learning Scientist,Genentech,"New York, NY 10001","$144,900 - $269,100 a year",Full-time,0,New_York
"Staff Data Scientist, Product",Google,"New York, NY",Salary Not Listed,Full-time,0,New_York
"Staff Data Scientist, Product, Search",Google,"New York, NY",Salary Not Listed,Full-time,0,New_York
"Senior Data Scientist, Research, Ads",Google,"New York, NY",Salary Not Listed,Full-time,0,New_York
Data Scientist (Remote or Hybrid),Council of State Governments,New York State,"$72,500 - $99,000 a year",Full-time,0,New_York
Data Scientist-Healthcare Analytics,Staffing Solutions Organization LLC,"Albany, NY 12210","$78,000 - $95,000 a year",Full-time,0,New_York
"Business Intelligence Engineer, Ads Marketing Decision Science",Amazon Advertising LLC,"New York, NY","$89,600 - $185,000 a year",Full-time,0,New_York
IS Data Scientist,American Arbitration Association Inc.,"120 Broadway, New York, NY 10271","$130,000 - $140,000 a year",Full-time,0,New_York
Associate Value Engineer (Data Scientist & Management Consultant) - Orbit Program,Celonis SE,"New York, NY","$90,000 a year",Full-time,0,New_York
Senior Data Scientist,Canoe Intelligence,"New York, NY 10013","$140,000 - $180,000 a year",Job Type Not Listed,0,New_York
"Data Scientist, Financial Crimes - USDS",TikTok,"New York, NY","$98,800 - $196,000 a year",Job Type Not Listed,0,New_York
Data Scientist II - Product Owner,Bank of America,"New York, NY","$125,000 - $246,200 a year",Full-time,0,New_York
Staff Data Scientist - NY,Aircall,"New York, NY","$140,000 - $180,000 a year",Full-time,0,New_York
"Senior Data Scientist, Research, Ads Metrics",Google,"New York, NY",Salary Not Listed,Full-time,0,New_York
Senior Data Scientist,Prospect 33,"New York, NY","$180,000 - $250,000 a year",Full-time,0,New_York
"Data Scientist, Demand Forecasting",Amazon.com Services LLC,"New York, NY","$125,500 - $212,800 a year",Full-time,0,New_York
Data Scientist,Octaura,"New York, NY","$150,000 - $175,000 a year",Full-time,0,New_York
"Staff Data Scientist, Product, Search",Google,"New York, NY",Salary Not Listed,Full-time,0,New_York
Sr Machine Learning Scientist - (Open to remote),Penguin Random House LLC,"New York, NY 10019","$150,000 - $200,000 a year",Full-time,0,New_York
Machine Learning Scientist,Genentech,"New York, NY 10001","$144,900 - $269,100 a year",Full-time,0,New_York
Associate Value Engineer (Data Scientist & Management Consultant) - Orbit Program,Celonis SE,"New York, NY","$90,000 a year",Full-time,0,New_York
Staff Data Scientist,Human Security,"New York, NY","$165,000 - $205,000 a year",Full-time,0,New_York
Research Scientist - NLP,S&P Global,"New York, NY 10041","$150,000 - $225,000 a year",Job Type Not Listed,0,New_York
Junior Consultant in Strategy & Data Science | New York | Jan 2025,Ekimetrics,"New York, NY","$75,000 a year",Full-time,0,New_York
"Generative AI Scientist, Associate (New York, NY)",Goldman Sachs,"200 West Street, New York, NY 10282","$115,000 - $180,000 a year",Part-time,0,New_York
Data Scientist,NYC HOUSING AUTHORITY,"Manhattan, NY","$75,000 - $103,670 a year",Full-time,0,New_York
Sr Machine Learning Scientist - (Open to remote),Penguin Random House LLC,"New York, NY 10019","$150,000 - $200,000 a year",Full-time,0,New_York
Data Scientist,Saks,"New York, NY 10281","$100,000 - $130,000 a year",Full-time,0,New_York
Machine Learning Engineer (Early Career),Accrete.AI,"New York, NY","$90,000 - $110,000 a year",Full-time,0,New_York
Machine Learning Compiler Engineer,Qualcomm,"New York, NY","$133,000 - $200,000 a year",Job Type Not Listed,0,New_York
Data Scientist I,University of Rochester,"Rochester, NY","$60,431 - $84,603 a year",Full-time,0,New_York
Data Science Analyst,Greater New York Mutual Insurance Company,"200 Madison Avenue, Manhattan, NY 10016","$70,200 - $128,100 a year",Job Type Not Listed,0,New_York
Data Scientist-Healthcare Analytics,Staffing Solutions Organization LLC,"Albany, NY 12210","$78,000 - $95,000 a year",Full-time,0,New_York
Machine Learning Scientist,Genentech,"New York, NY 10001","$144,900 - $269,100 a year",Full-time,0,New_York
"Applied AI Engineer, Associate",BlackRock Investments,"New York, NY","$132,500 - $157,500 a year",Job Type Not Listed,0,New_York
Machine Learning Developer,"D. E. Shaw & Co., L.P.","New York, NY","$250,000 - $350,000 a year",Full-time,0,New_York
"Data Scientist, Ads Sales Analytics",Apple,"New York, NY","$136,300 - $248,700 a year",Job Type Not Listed,0,New_York
Data Science Senior Advisor- Hybrid,The Cigna Group,"New York, NY 10017","$121,400 - $202,400 a year",Full-time,0,New_York
Lead Data Scientist ML - Forecasting,CVS Health,"Albany, NY 12207","$118,450 - $247,200 a year",Full-time,0,New_York
Machine Learning Engineer Graduate (Search Ads) - 2025 Start (BS/MS),TikTok,"San Jose, CA","$113,500 - $250,000 a year",Job Type Not Listed,0,San_Francisco
Machine Learning Engineer,Goliath Partners,"San Francisco, CA","$200,000 - $300,000 a year",Job Type Not Listed,0,San_Francisco
Machine Learning Researcher,Kiddom,"San Francisco, CA","$130,000 - $180,000 a year",Full-time,0,San_Francisco
Software Engineer 1 - Machine Learning,Abacus.AI,"San Francisco, CA",Salary Not Listed,Job Type Not Listed,0,San_Francisco
"Machine Learning Engineer, GenAI Search",Moveworks.ai,"Mountain View, CA","$120,000 - $249,000 a year",Full-time,0,San_Francisco
Data Scientist,BICP,"San Francisco, CA",Salary Not Listed,Job Type Not Listed,0,San_Francisco
"Machine Learning Engineer, Training",Waymo,"Mountain View, CA","$158,000 - $200,000 a year",Full-time,0,San_Francisco
Machine Learning Researcher,Apple,"Sunnyvale, CA","$143,100 - $264,200 a year",Job Type Not Listed,0,San_Francisco
Production Engineer (University Grad),Meta,"300 Airport Boulevard, Burlingame, CA 94010","$117,000 - $137,000 a year",Job Type Not Listed,0,San_Francisco
Prompt Engineer,LogicMonitor,"San Francisco Bay Area, CA","$130,900 - $180,070 a year",Job Type Not Listed,0,San_Francisco
Machine Learning Engineer,Headway Technologies Inc,"595 Yosemite Dr, Milpitas, CA 95035","$96,655 - $142,140 a year",Full-time,0,San_Francisco
Machine Learning Research Engineer,Video.io,"San Francisco, CA",Salary Not Listed,Job Type Not Listed,0,San_Francisco
"Machine Learning Engineer, Search Recommendation",TikTok,"San Jose, CA","$112,000 - $250,000 a year",Job Type Not Listed,0,San_Francisco
Machine Learning Engineer,Qualcomm,"Santa Clara, CA","$181,000 - $272,000 a year",Job Type Not Listed,0,San_Francisco
"AIML - Machine Learning Engineer, Siri Perception",Apple,"San Francisco, CA","$143,100 - $264,200 a year",Job Type Not Listed,0,San_Francisco
Machine Learning Engineer,Qualcomm,"Santa Clara, CA","$181,000 - $272,000 a year",Job Type Not Listed,0,San_Francisco
Product Support Data Scientist,Apple,"Sunnyvale, CA","$136,300 - $205,500 a year",Full-time,3+ years,San_Francisco
Machine Learning Research Engineer,Video.io,"San Francisco, CA",Salary Not Listed,Job Type Not Listed,0,San_Francisco
"Software Dev Engineer - Machine Learning Apps, Accelerator, Annapurna ML",Annapurna Labs (U.S.) Inc.,"Cupertino, CA","$99,500 - $200,000 a year",Full-time,0,San_Francisco
Computer Vision/Machine Learning Engineer,KLA,"Milpitas, CA","$124,100 - $211,000 a year",Full-time,0,San_Francisco
LLM Research Scientist Graduate (eCommerce Recommendation)- 2025 Start (MS),TikTok,"San Jose, CA","$113,500 - $177,000 a year",Job Type Not Listed,0,San_Francisco
Machine Learning Researcher,Apple,"Sunnyvale, CA","$143,100 - $264,200 a year",Job Type Not Listed,0,San_Francisco
Software Engineer - Machine Learning,SLAC National Accelerator Laboratory,"2575 Sand Hill Rd, Menlo Park, CA 94025","$116,000 - $170,000 a year",Temporary,1+ years,San_Francisco
SoC Machine Learning Design Engineer,Apple,"Cupertino, CA","$121,900 - $183,600 a year",Job Type Not Listed,0,San_Francisco
Machine Learning Engineer Graduate (On-Device AI) - 2025 Start (PhD),TikTok,"San Jose, CA","$136,800 - $205,000 a year",Job Type Not Listed,1+ years,San_Francisco
2025 University Graduate - Research Scientist/Engineer,Adobe,"601 Townsend Street, San Francisco, CA 94103","$120,700 - $228,600 a year",Full-time,0,San_Francisco
Data Scientist / ML Engineer,Paradyme Management,"1400 Seaport Blvd Ste 200a, Redwood City, CA 94063","$123,000 - $185,000 a year",Full-time,0,San_Francisco
Machine Learning Engineer - Content Growth,TikTok,"San Jose, CA","$126,000 - $221,760 a year",Job Type Not Listed,0,San_Francisco
Staff Machine Learning Compiler Engineer,Rivian,"607 Hansen Way, Palo Alto, CA 94304","$206,500 - $258,100 a year",Full-time,0,San_Francisco
"Machine Learning Engineer, On-Device ML",Grammarly,"San Francisco, CA","$337,000 - $403,000 a year",Job Type Not Listed,0,San_Francisco
Applied AI Research Scientist - Reinforcement Learning,Meta,"1 Hacker Way, Menlo Park, CA 94025","$147,000 - $208,000 a year",Job Type Not Listed,0,San_Francisco
